repeat,outer_fold,config_id,hidden_size1,hidden_size2,hidden_size3,lr,weight_decay,dropout,inner_selected_threshold,inner_selected_epochs_median,inner_pr_auc,inner_roc_auc,inner_recall,inner_specificity,inner_balanced_accuracy,inner_mcc,inner_f1_score,inner_accuracy,inner_threshold,inner_tp,inner_tn,inner_fp,inner_fn
8,2,5,80,32,32,0.001,0.0001,0.2,0.5299999999999999,14,0.4204909371059759,0.8002130177514792,0.36923076923076925,0.9923076923076923,0.6807692307692308,0.526874045839182,0.5106382978723405,0.9356643356643357,0.5299999999999999,24,645,5,41
8,3,0,64,48,48,0.001,0.0005,0.4,0.615,12,0.3055954155371602,0.6534082840236686,0.24615384615384617,0.9907692307692307,0.6184615384615384,0.39440531887330776,0.36781609195402304,0.9230769230769231,0.615,16,644,6,49
8,3,1,48,64,32,0.0005,0.0001,0.4,0.48999999999999994,28,0.5983344993634069,0.868,0.5846153846153846,0.9830769230769231,0.7838461538461539,0.6459385608395597,0.6666666666666666,0.9468531468531468,0.48999999999999994,38,639,11,27
8,3,2,32,64,32,0.001,0.001,0.2,0.635,17,0.42369826947750966,0.7767810650887574,0.36923076923076925,0.9846153846153847,0.676923076923077,0.47798560932588724,0.4848484848484848,0.9286713286713286,0.635,24,640,10,41
8,3,3,48,64,48,0.0003,0.0005,0.2,0.5199999999999999,17,0.295225920291789,0.6522840236686391,0.24615384615384617,0.9892307692307692,0.6176923076923078,0.3835080333724724,0.36363636363636365,0.9216783216783216,0.5199999999999999,16,643,7,49
8,3,4,48,48,48,0.0003,0.0005,0.2,0.5299999999999999,37,0.656668244857493,0.9118816568047337,0.6153846153846154,0.98,0.7976923076923077,0.6533472019269287,0.6779661016949153,0.9468531468531468,0.5299999999999999,40,637,13,25
8,3,5,48,64,16,0.001,0.0001,0.5,0.5399999999999999,14,0.525436354910254,0.8527810650887575,0.47692307692307695,0.9784615384615385,0.7276923076923077,0.5390735865120443,0.5636363636363636,0.9328671328671329,0.5399999999999999,31,636,14,34
8,4,0,32,16,48,0.0005,0.0001,0.5,0.5099999999999999,18,0.4691825409858658,0.7768875739644969,0.26153846153846155,0.9969230769230769,0.6292307692307693,0.46198498573194163,0.40476190476190477,0.9300699300699301,0.5099999999999999,17,648,2,48
8,4,1,80,32,48,0.0005,0.001,0.4,0.4649999999999999,3,0.50100591990124,0.7964615384615386,0.38461538461538464,0.9876923076923076,0.6861538461538461,0.5101127853361851,0.5102040816326531,0.9328671328671329,0.4649999999999999,25,642,8,40
8,4,2,32,32,48,0.0003,0.0005,0.4,0.48499999999999993,17,0.561849256182356,0.7912307692307693,0.46153846153846156,0.9661538461538461,0.7138461538461538,0.47346334265412787,0.5128205128205129,0.9202797202797203,0.48499999999999993,30,628,22,35
