ratio,negative_ratio,sampling_round,n_outer_folds,n_samples,n_edcs,n_non_edcs,pr_auc,roc_auc,ranking_metric_aggregation,recall,specificity,balanced_accuracy,mcc,f1_score,accuracy,tp,tn,fp,fn,threshold_mean,threshold_sd
5,1:5,8,5,486,81,405,0.9129137679032695,0.9844408133623821,test-size-weighted outer-fold mean,0.8518518518518519,0.9530864197530864,0.9024691358024691,0.7790220057986178,0.8165680473372781,0.9362139917695473,69,386,19,12,0.49944444444444436,0.023822258499143188
5,1:5,9,5,486,81,405,0.9220733440605016,0.9842637981118374,test-size-weighted outer-fold mean,0.7037037037037037,0.7802469135802469,0.7419753086419754,0.39341886649281316,0.5022026431718062,0.7674897119341564,57,316,89,24,0.477037037037037,0.014832396974191317
5,1:5,10,5,486,81,405,0.9133032324502939,0.9713916122004358,test-size-weighted outer-fold mean,0.9876543209876543,0.3111111111111111,0.6493827160493827,0.2534260668251761,0.36363636363636365,0.42386831275720166,80,126,279,1,0.4719135802469135,0.07300684899377594
5,1:5,11,5,486,81,405,0.9311164246551343,0.9778231663035584,test-size-weighted outer-fold mean,0.9259259259259259,0.5876543209876544,0.7567901234567902,0.38280335608457844,0.46439628482972134,0.6440329218106996,75,238,167,6,0.48944444444444435,0.02678619047195774
5,1:5,12,5,486,81,405,0.9118063867252607,0.983850762527233,test-size-weighted outer-fold mean,0.8271604938271605,0.7530864197530864,0.7901234567901234,0.45533316387916173,0.5403225806451613,0.7654320987654321,67,305,100,14,0.4993827160493826,0.027018512172212593
5,1:5,13,5,486,81,405,0.9104610435221536,0.9738380537400145,test-size-weighted outer-fold mean,0.8641975308641975,0.7604938271604939,0.8123456790123457,0.4902097466443741,0.5645161290322581,0.7777777777777778,70,308,97,11,0.5264814814814813,0.08650144507463446
5,1:5,14,5,486,81,405,0.9266682287207456,0.9861111111111112,test-size-weighted outer-fold mean,0.9135802469135802,0.7802469135802469,0.8469135802469135,0.5476792087685067,0.6065573770491803,0.8024691358024691,74,316,89,7,0.47055555555555545,0.06451743950281971
5,1:5,15,5,486,81,405,0.9111815350794188,0.9836011256354394,test-size-weighted outer-fold mean,0.9753086419753086,0.562962962962963,0.7691358024691358,0.4017793305220947,0.4688427299703264,0.6316872427983539,79,228,177,2,0.5037654320987652,0.013874436925511621
5,1:5,16,5,486,81,405,0.9440166458037117,0.9864379084967321,test-size-weighted outer-fold mean,0.9135802469135802,0.9629629629629629,0.9382716049382716,0.8446039227799874,0.8705882352941177,0.9547325102880658,74,390,15,7,0.5087654320987653,0.0379802580296659
5,1:5,17,5,486,81,405,0.91391623374942,0.9827932098765432,test-size-weighted outer-fold mean,0.8148148148148148,0.7728395061728395,0.7938271604938272,0.4675483078692694,0.5523012552301255,0.779835390946502,66,313,92,15,0.4882098765432098,0.03327912258458748
5,1:5,18,5,486,81,405,0.9320537138811443,0.9865196078431373,test-size-weighted outer-fold mean,0.9135802469135802,0.7061728395061728,0.8098765432098765,0.4720372315777048,0.5401459854014599,0.7407407407407407,74,286,119,7,0.4788888888888888,0.06786015030929421
5,1:5,19,5,486,81,405,0.9465642331627984,0.9874001452432823,test-size-weighted outer-fold mean,0.9135802469135802,0.9580246913580247,0.9358024691358025,0.8326652860831503,0.8604651162790697,0.9506172839506173,74,388,17,7,0.4992592592592592,0.035601966237835805
5,1:5,20,5,486,81,405,0.9077645393628179,0.9817719680464778,test-size-weighted outer-fold mean,0.9506172839506173,0.7975308641975308,0.874074074074074,0.5942718898844223,0.6416666666666667,0.823045267489712,77,323,82,4,0.4788271604938271,0.02073644135332771
5,1:5,21,5,486,81,405,0.9284339310358881,0.9862881263616559,test-size-weighted outer-fold mean,0.9012345679012346,0.9037037037037037,0.9024691358024691,0.7123407438652599,0.7564766839378239,0.9032921810699589,73,366,39,8,0.5107407407407407,0.08974965180990956
5,1:5,22,5,486,81,405,0.9296212863249328,0.9827523602033406,test-size-weighted outer-fold mean,0.8765432098765432,0.5975308641975309,0.737037037037037,0.3535965568702911,0.4507936507936508,0.6440329218106996,71,242,163,10,0.4873456790123456,0.0354612464529943
5,1:5,23,5,486,81,405,0.931075391070463,0.9856572258533044,test-size-weighted outer-fold mean,0.9382716049382716,0.5456790123456791,0.7419753086419754,0.3616014602644057,0.44574780058651026,0.6111111111111112,76,221,184,5,0.4715432098765431,0.03053686296920494
5,1:5,24,5,486,81,405,0.9105991607100998,0.9802650689905591,test-size-weighted outer-fold mean,0.8024691358024691,0.5728395061728395,0.6876543209876543,0.2797977816037931,0.40752351097178685,0.6111111111111112,65,232,173,16,0.4677777777777777,0.03213253802611927
5,1:5,25,5,486,81,405,0.8921589936986143,0.9818264342774146,test-size-weighted outer-fold mean,0.9876543209876543,0.3802469135802469,0.6839506172839506,0.2941856064391346,0.3883495145631068,0.48148148148148145,80,154,251,1,0.44913580246913576,0.0432145808726638
5,1:5,26,5,486,81,405,0.9485566021462134,0.979529774872912,test-size-weighted outer-fold mean,0.9753086419753086,0.671604938271605,0.8234567901234568,0.4861531199945442,0.5392491467576792,0.7222222222222222,79,272,133,2,0.5175308641975308,0.06723094525588649
5,1:5,27,5,486,81,405,0.9030813512442731,0.9817447349310094,test-size-weighted outer-fold mean,0.9753086419753086,0.5012345679012346,0.7382716049382716,0.3596186582712168,0.43646408839779005,0.5802469135802469,79,203,202,2,0.508395061728395,0.07136175446273729
5,1:5,28,5,486,81,405,0.952660109093376,0.9876043936092957,test-size-weighted outer-fold mean,0.9629629629629629,0.7679012345679013,0.865432098765432,0.5696100738242295,0.616600790513834,0.8004115226337448,78,311,94,3,0.48185185185185175,0.0354612464529943
